concept_id,concept,prompt_id,prompt,attribute_id,attribute,attribute_values
1,a helmet,0,a helmet in a bike shop.,0,"What type of helmet is depicted in the image (e.g., sports, construction, military)?","{'aviation helmets', 'diving helmets', 'motorcycle helmets', 'firefighter helmets', 'mining helmets', 'engineering helmets', 'construction helmets', 'ceremonial helmets', 'bicycle helmets', 'equestrian helmets', 'military helmets', 'skiing helmets', 'sports helmets'}"
1,a helmet,0,a helmet in a bike shop.,15,What color is the helmet?,"{'yellow', 'black', 'orange', 'gold', 'purple', 'green', 'pink', 'silver', 'red', 'gray', 'multicolored', 'blue', 'white'}"
1,a helmet,0,a helmet in a bike shop.,28,Does the helmet have any logos or graphics on it?,"{'Yes', 'No'}"
1,a helmet,0,a helmet in a bike shop.,40,Is there a visor attached to the helmet?,"{'Yes', 'No'}"
1,a helmet,1,a helmet in a skate park.,0,"What type of helmet is depicted in the image (e.g., sports, construction, military)?","{'aviation helmets', 'diving helmets', 'motorcycle helmets', 'firefighter helmets', 'mining helmets', 'engineering helmets', 'construction helmets', 'ceremonial helmets', 'bicycle helmets', 'equestrian helmets', 'military helmets', 'skiing helmets', 'sports helmets'}"
1,a helmet,1,a helmet in a skate park.,15,What color is the helmet?,"{'yellow', 'black', 'orange', 'gold', 'purple', 'green', 'pink', 'silver', 'red', 'gray', 'multicolored', 'blue', 'white'}"
1,a helmet,1,a helmet in a skate park.,28,Does the helmet have any logos or graphics on it?,"{'Yes', 'No'}"
1,a helmet,1,a helmet in a skate park.,40,Is there a visor attached to the helmet?,"{'Yes', 'No'}"
1,a helmet,2,a helmet on a construction site.,0,"What type of helmet is depicted in the image (e.g., sports, construction, military)?","{'aviation helmets', 'diving helmets', 'motorcycle helmets', 'firefighter helmets', 'mining helmets', 'engineering helmets', 'construction helmets', 'ceremonial helmets', 'bicycle helmets', 'equestrian helmets', 'military helmets', 'skiing helmets', 'sports helmets'}"
1,a helmet,2,a helmet on a construction site.,15,What color is the helmet?,"{'yellow', 'black', 'orange', 'gold', 'purple', 'green', 'pink', 'silver', 'red', 'gray', 'multicolored', 'blue', 'white'}"
1,a helmet,2,a helmet on a construction site.,28,Does the helmet have any logos or graphics on it?,"{'Yes', 'No'}"
1,a helmet,2,a helmet on a construction site.,40,Is there a visor attached to the helmet?,"{'Yes', 'No'}"
1,a helmet,3,a helmet in a library.,0,"What type of helmet is depicted in the image (e.g., sports, construction, military)?","{'aviation helmets', 'diving helmets', 'motorcycle helmets', 'firefighter helmets', 'mining helmets', 'engineering helmets', 'construction helmets', 'ceremonial helmets', 'bicycle helmets', 'equestrian helmets', 'military helmets', 'skiing helmets', 'sports helmets'}"
1,a helmet,3,a helmet in a library.,15,What color is the helmet?,"{'yellow', 'black', 'orange', 'gold', 'purple', 'green', 'pink', 'silver', 'red', 'gray', 'multicolored', 'blue', 'white'}"
1,a helmet,3,a helmet in a library.,28,Does the helmet have any logos or graphics on it?,"{'Yes', 'No'}"
1,a helmet,3,a helmet in a library.,40,Is there a visor attached to the helmet?,"{'Yes', 'No'}"
1,a helmet,4,a helmet at a wedding.,0,"What type of helmet is depicted in the image (e.g., sports, construction, military)?","{'aviation helmets', 'diving helmets', 'motorcycle helmets', 'firefighter helmets', 'mining helmets', 'engineering helmets', 'construction helmets', 'ceremonial helmets', 'bicycle helmets', 'equestrian helmets', 'military helmets', 'skiing helmets', 'sports helmets'}"
1,a helmet,4,a helmet at a wedding.,15,What color is the helmet?,"{'yellow', 'black', 'orange', 'gold', 'purple', 'green', 'pink', 'silver', 'red', 'gray', 'multicolored', 'blue', 'white'}"
1,a helmet,4,a helmet at a wedding.,28,Does the helmet have any logos or graphics on it?,"{'Yes', 'No'}"
